Bezeichnung,LP1,Empf. Beginn2,Bindung3
Fachportal Germanistik,10,1.,Pflicht
Basismodul Linguistik,10,2. o. 3.,Pflicht
Basismodul Literaturwissenschaft: Historische Aspekte der Literatur: Epochen und Epochenumbrüche,10,2. o. 3.,Pflicht
Systematische Aspekte der Literaturwissenschaft,10,3. o. 4. o. 5. o. 6.,Pflicht
Ältere deutsche Sprache und Literatur,10,2. o. 3. o. 4. o. 5. o. 6.,Wahl­pflicht
Systematische Aspekte des Deutschen,10,3. o. 4. o. 5. o. 6.,Wahl­pflicht
Dynamische Aspekte des Deutschen,10,3. o. 4. o. 5. o. 6.,Wahl­pflicht
Kommunikationsanalyse,10,3. o. 4. o. 5. o. 6.,Wahl­pflicht
"Literatur in der Gegenwart: Kultur, Medien, Digitalität",10,3. o. 4. o. 5. o. 6.,Wahl­pflicht
"Autoren, Werke, Diskurse",10,3. o. 4. o. 5. o. 6.,Wahl­pflicht
