Bezeichnung,LP1,Empf. Beginn2,Bindung3
Einführende Veranstaltungen und Forschungsmethoden,10,1.,Pflicht
Methodische Grundlagen der Psychologie,10,2.,Pflicht
Allgemeine Psychologie I,10,1. o. 3.,Wahl­pflicht
Allgemeine Psychologie II,10,1. o. 3.,Wahl­pflicht
Biopsychologie,10,1. o. 3.,Wahl­pflicht
Differentielle Psychologie,10,1. o. 3.,Wahl­pflicht
Entwicklungspsychologie,10,1. o. 3.,Wahl­pflicht
Sozialpsychologie,10,1. o. 3.,Wahl­pflicht
Arbeits- und Organisationspsychologie,10,5.,Wahl­pflicht
"Psychologische Gesundheitsförderung, Krankheits- und Belastungsbewältigung",10,5.,Wahl­pflicht
Pädagogische Psychologie,10,5.,Wahl­pflicht
