Bezeichnung,LP1,Empf. Beginn2,Bindung3
Politikwissenschaft/Politische Theorie,10,1.,Pflicht
Politische Soziologie,10,1.,Pflicht
Methoden der empirischen Sozialforschung (Grundlagen),10,3.,Pflicht
Internationale Beziehungen,10,3.,Pflicht
Vergleichende Politikwissenschaft/ Public Policy,10,5.,Pflicht
Governance und Mehrebenenregieren,10,5.,Wahl­pflicht
Politische Kommunikation und Organisation,10,5.,Wahl­pflicht
Fachmodul Organisation I,10,5.,Wahl­pflicht
"Fachmodul Arbeit, Wirtschaft, Sozialpolitik I",10,5.,Wahl­pflicht
"Fachmodul Transnationalisierung, Migration und Entwicklung",10,5.,Wahl­pflicht
Fachmodul Geschlechterforschung und Geschlechterverhältnisse,10,5.,Wahl­pflicht
Fachmodul Recht und Regulierung,10,5.,Wahl­pflicht
Fachmodul Politische Theorie,10,5.,Wahl­pflicht
Fachmodul Soziologische Theorie/ Geschichte der Soziologie I,10,5. o. 6.,Wahl­pflicht
