Bezeichnung,LP1,Empf. Beginn2,Bindung3
Methoden und Grundlagen/Falllösungstraining im Privatrecht,10,1.,Pflicht
Privatrecht I,10,1.,Pflicht
Strafrecht I,10,1.,Pflicht
Öffentliches Recht I - Staatsrecht,10,3. o. 4.,Wahl­pflicht
Öffentliches Recht I - Verwaltungsrecht I,10,3. o. 4.,Wahl­pflicht
Familien- und Erbrecht,10,5.,Wahl­pflicht
Arbeitsrecht,10,5.,Wahl­pflicht
Öffentliches Recht II - Polizei- und Ordnungsrecht,10,5.,Wahl­pflicht
Öffentliches Recht II - Kommunal- und Baurecht,10,5.,Wahl­pflicht
Umweltrecht,10,5.,Wahl­pflicht
Rechtsgeschichte,10,5. o. 6.,Wahl­pflicht
Privatrecht II,10,5. o. 6.,Wahl­pflicht
Handels- und Gesellschaftsrecht,10,5. o. 6.,Wahl­pflicht
Steuerrecht,10,5. o. 6.,Wahl­pflicht
Europarecht,10,5. o. 6.,Wahl­pflicht
Strafrecht II,10,6.,Wahl­pflicht
