Bezeichnung,LP1,Empf. Beginn2,Bindung3
Allgemeine Chemie - Theorie,5,1.0,Pflicht
Allgemeine Chemie - Praxis,5,1.0,Pflicht
Organische Chemie - Basis Theorie,5,2.0,Pflicht
Organische Chemie - Basis Praxis,5,2.0,Pflicht
Anorganische Chemie - Basis Theorie,5,3.0,Pflicht
Anorganische Chemie - Basis Praxis,5,3.0,Pflicht
Physikalische Chemie - Basis Theorie,5,3.0,Pflicht
Physikalische Chemie - Basis Praxis,5,4.0,Pflicht
Theoretische Chemie,5,4.0,Wahl­pflicht
"Organische Chemie - Vertiefung, Theorie",10,5.0,Wahl­pflicht
"Organische Chemie - Vertiefung, Theorie",5,5.0,Wahl­pflicht
"Physikalische Chemie - Vertiefung, Theorie",10,5.0,Wahl­pflicht
"Physikalische Chemie - Vertiefung, Theorie",5,5.0,Wahl­pflicht
Biochemie I - Theorie,5,5.0,Wahl­pflicht
Theoretische Chemie - Vertiefung,10,5.0,Wahl­pflicht
"Anorganische Chemie - Vertiefung, Theorie",10,6.0,Wahl­pflicht
"Anorganische Chemie - Vertiefung, Theorie (5 LP)",5,6.0,Wahl­pflicht
Biochemie II - Theorie,10,6.0,Wahl­pflicht
Theoretische Chemie - Spezialisierung,5,6.0,Wahl­pflicht
