Bezeichnung,LP1,Empf. Beginn2,Bindung3
Grundmodul Theoretische Philosophie,10,1.,Pflicht
Grundmodul Praktische Philosophie,10,2.,Pflicht
Logik,10,3. o. 4.,Wahl­pflicht
Hauptmodul PP1: Normative Ethik,10,3. o. 4. o. 5. o. 6.,Wahl­pflicht
Hauptmodul PP2: Metaethik,10,3. o. 4. o. 5. o. 6.,Wahl­pflicht
Hauptmodul PP3: Angewandte Ethik,10,3. o. 4. o. 5. o. 6.,Wahl­pflicht
Hauptmodul PP4: Politische Philosophie,10,3. o. 4. o. 5. o. 6.,Wahl­pflicht
Hauptmodul PP5: Rechts- und Sozialphilosophie,10,3. o. 4. o. 5. o. 6.,Wahl­pflicht
Hauptmodul PP6: Ästhetik,10,3. o. 4. o. 5. o. 6.,Wahl­pflicht
Hauptmodul PP7: Handlungstheorie,10,3. o. 4. o. 5. o. 6.,Wahl­pflicht
Hauptmodul PP8: Geschichte der Praktischen Philosophie,10,3. o. 4. o. 5. o. 6.,Wahl­pflicht
Satellitenmodul Praktische Philosophie,10,3. o. 4. o. 5. o. 6.,Wahl­pflicht
Hauptmodul TP1: Wissenschaftsphilosophie,10,3. o. 4. o. 5. o. 6.,Wahl­pflicht
Hauptmodul TP3: Metaphysik,10,3. o. 4. o. 5. o. 6.,Wahl­pflicht
Hauptmodul TP4: Sprachphilosophie,10,3. o. 4. o. 5. o. 6.,Wahl­pflicht
Hauptmodul TP5: Erkenntnistheorie,10,3. o. 4. o. 5. o. 6.,Wahl­pflicht
Hauptmodul TP6: Philosophie des Geistes,10,3. o. 4. o. 5. o. 6.,Wahl­pflicht
Hauptmodul TP7: Religionsphilosophie,10,3. o. 4. o. 5. o. 6.,Wahl­pflicht
Hauptmodul TP8: Geschichte der Theoretischen Philosophie,10,3. o. 4. o. 5. o. 6.,Wahl­pflicht
Satellitenmodul Theoretische Philosophie,10,3. o. 4. o. 5. o. 6.,Wahl­pflicht
Hauptmodul TP2: Vertiefung Logik,10,5. o. 6.,Wahl­pflicht
