Bezeichnung,LP1,Empf. Beginn2,Bindung3
Grundlagen der soziologischen Theorie / Fachkultur Soziologie,10,1.,Pflicht
Sozialstrukturanalyse,10,2.,Pflicht
Methoden der empirischen Sozialforschung (Grundlagen),10,3.,Pflicht
Fachmodul Organisation I,10,3. o. 4. o. 5.,Wahl­pflicht
"Fachmodul Arbeit, Wirtschaft, Sozialpolitik I",10,3. o. 4. o. 5.,Wahl­pflicht
Fachmodul Geschlechterforschung und Geschlechterverhältnisse,10,3. o. 4. o. 5.,Wahl­pflicht
Fachmodul Recht und Regulierung,10,3. o. 4. o. 5.,Wahl­pflicht
Fachmodul Soziologische Theorie/ Geschichte der Soziologie I,10,3. o. 4. o. 5. o. 6.,Wahl­pflicht
"Fachmodul Transnationalisierung, Migration und Entwicklung",10,3. o. 4. o. 5. o. 6.,Wahl­pflicht
Fachmodul Soziologische Theorie/ Geschichte der Soziologie II (erweitert),10,3. o. 4. o. 5. o. 6.,Wahl­pflicht
Fachmodul Organisation II (erweitert),10,3. o. 4. o. 5. o. 6.,Wahl­pflicht
