Bezeichnung,LP1,Empf. Beginn2,Bindung3
Einführung in die Wirtschaftswissenschaften,10,1.,Pflicht
Mathematik,10,1.,Pflicht
Rechnungswesen,10,3.,Pflicht
VWL I,10,2.,Wahl­pflicht
BWL I,10,2.,Wahl­pflicht
BWL II,10,2. o. 4.,Wahl­pflicht
Statistik,10,3.,Wahl­pflicht
VWL II,10,3.,Wahl­pflicht
Profilmodul Human Resources (HR),10,5.,Wahl­pflicht
Profilmodul Marketing,10,5.,Wahl­pflicht
Profilmodul Innovations- und Technologiemanagement,10,5.,Wahl­pflicht
Profilmodul Finanzwirtschaft,10,5.,Wahl­pflicht
Profilmodul Unternehmensrechnung I,10,5.,Wahl­pflicht
Profilmodul Unternehmensrechnung II,10,5.,Wahl­pflicht
Profilmodul Steuerlehre,10,5.,Wahl­pflicht
Profilmodul Quantitative BWL,10,5.,Wahl­pflicht
Profilmodul Markt- und Informationsstrukturen,10,5.,Wahl­pflicht
Profilmodul Mikroökonomie II,10,5.,Wahl­pflicht
Profilmodul Makroökonomie II,10,5.,Wahl­pflicht
Profilmodul Wettbewerb,10,5.,Wahl­pflicht
Profilmodul Statistische Methoden,10,5.,Wahl­pflicht
Profilmodul Finanzwissenschaft,10,5.,Wahl­pflicht
Profilmodul International Management and Economics,10,5.,Wahl­pflicht
Profilmodul Unternehmungsführung,10,5.,Wahl­pflicht
Profilmodul Data Science,10,5.,Wahl­pflicht
Profilmodul Algorithmen und Datenstrukturen,10,5.,Wahl­pflicht
Profilmodul Verhaltensökonomik,10,5.,Wahl­pflicht
