Bezeichnung,LP1,Empf. Beginn2,Bindung3
Einführungsmodul: Orientierung,10,1.,Pflicht
Basismodul 1: Gattungsperspektiven,10,1. o. 2. o. 3.,Pflicht
Basismodul 2: Literaturtheorie und Ästhetik,10,1. o. 2. o. 3.,Pflicht
Basismodul 3: Literatur- und kulturgeschichtliche Grundlagen,10,1. o. 2. o. 3.,Pflicht
Profilmodul 1: Literatur- und Kulturgeschichte,10,3. o. 4. o. 5.,Wahl­pflicht
Profilmodul 2: Literatur und Medien,10,3. o. 4. o. 5.,Wahl­pflicht
Profilmodul 3: Literatur und Kunst im Vergleich,10,3. o. 4. o. 5.,Wahl­pflicht
"Profilmodul 4: Literatur, Philosophie und Theorie",10,3. o. 4. o. 5.,Wahl­pflicht
Profilmodul 5a: Praktikum,10,3. o. 4. o. 5.,Wahl­pflicht
Profilmodul 5b: Praxis,10,3. o. 4. o. 5.,Wahl­pflicht
