Bezeichnung,LP1,Empf. Beginn2,Bindung3
Basis Theorie I,10,1.,Pflicht
Basis Theorie II,10,2.,Pflicht
Basis Praxis I,10,3.,Pflicht
Basis Praxis II,10,4.,Pflicht
Genetik / Zellbiologie / Physiologie,10,5.,Wahl­pflicht
Ökologie,10,5.,Wahl­pflicht
Verhalten / neuronale Mechanismen,10,5.,Wahl­pflicht
Kognitive Neurowissenschaften,10,5.,Wahl­pflicht
Funktionelle Genomanalyse,10,6.,Wahl­pflicht
Grundlagen der Molekulargenetik,10,6.,Wahl­pflicht
Methoden der pflanzlichen Molekularbiologie,10,6.,Wahl­pflicht
Biotechnologie und Molekularbiologie mit Grünalgen,10,6.,Wahl­pflicht
Grundlagen der molekularen Mikrobiologie,10,6.,Wahl­pflicht
Biotechnologie der Pflanzen,10,6.,Wahl­pflicht
Aquatische Ökologie,10,6.,Wahl­pflicht
Stressökologie der Pflanzen,10,6.,Wahl­pflicht
Bodenökologie,10,6.,Wahl­pflicht
GIS-basierte Landschaftsanalyse,10,6.,Wahl­pflicht
Angewandte Ökologische Standortbewertung,10,6.,Wahl­pflicht
Pflanzliche Abwehrmechanismen und Insekten,10,6.,Wahl­pflicht
Modeling in Evolutionary Ecology,10,6.,Wahl­pflicht
Bioindikation,10,6.,Wahl­pflicht
Key Concepts in Evolutionary Ecology,10,6.,Wahl­pflicht
Bewegung und Verhalten,10,6.,Wahl­pflicht
Von der Wahrnehmung zum Verhalten,10,6.,Wahl­pflicht
Mechanismen des Verhaltens,10,6.,Wahl­pflicht
Methoden zur Analyse von neuro- und verhaltensbiologischen Messdaten,10,6.,Wahl­pflicht
