Bezeichnung,LP1,Empf. Beginn2,Bindung3
Politikwissenschaft/Politische Theorie,10,1.,Pflicht
Wirtschaftswissenschaften,10,1.,Pflicht
Einführung in die Sozialwissenschaften,5,2.,Pflicht
Grundlagen der soziologischen Theorie / Fachkultur Soziologie,10,3.,Pflicht
Sozialstruktur / Politische Struktur,5,4.,Pflicht
Methoden der empirischen Sozialforschung (Grundlagen),10,5.,Pflicht
Vergleichende Politikwissenschaft/ Public Policy,10,5.,Wahl­pflicht
Internationale Beziehungen,10,5.,Wahl­pflicht
Politische Soziologie,10,5.,Wahl­pflicht
Fachmodul Soziologische Theorie/ Geschichte der Soziologie I,10,5.,Wahl­pflicht
Fachmodul Organisation I,10,5.,Wahl­pflicht
"Fachmodul Arbeit, Wirtschaft, Sozialpolitik I",10,5.,Wahl­pflicht
"Fachmodul Transnationalisierung, Migration und Entwicklung",10,5.,Wahl­pflicht
Fachmodul Geschlechterforschung und Geschlechterverhältnisse,10,5.,Wahl­pflicht
Fachmodul Recht und Regulierung,10,5.,Wahl­pflicht
